reporting_year,reporting_month,organization,action_as_per_source,enforcement_type,proactive_flag,topic,value,units,notes,standard_value,date
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.9,value in percenatge,,98.9,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,33.3,value in thousands,,33.3,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,12.0,value in percenatge,,12.0,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,558.0,value in absolute number,,558.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.7,value in percenatge,,99.7,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,10.3,value in thousands,,10.3,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,97.4,value in percenatge,,97.4,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,7.2,value in thousands,,7.2,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,87.0,value in percenatge,,87.0,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,231.0,value in absolute number,,231.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.0,value in percenatge,,99.0,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,2.4,value in thousands,,2.4,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Hate Speech,53.4,value in percenatge,,53.4,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Hate Speech,536.0,value in absolute number,,536.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,90.9,value in percenatge,,90.9,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,198.0,value in absolute number,,198.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.8,value in percenatge,,99.8,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,520.0,value in absolute number,,520.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Spam,99.8,value in percenatge,,99.8,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Spam,51.7,value in thousands,,51.7,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Suicide and Self-injury,99.9,value in percenatge,,99.9,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Suicide and Self-injury,47.0,value in thousands,,47.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,67.7,value in percenatge,,67.7,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Violence and Incitement,421.0,value in absolute number,,421.0,2025-12-01
2025,December,Threads,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,98.1,value in percenatge,,98.1,2025-12-01
2025,December,Threads,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,17.6,value in thousands,,17.6,2025-12-01
2025,December,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,548.0,value in thousands,,548.0,2025-12-01
